SERVER Listening for connections on port 6502.
SERVER Logging to file supersqkweek.log
SERVER Running in monitor mode.
SERVER Client 192.168.1.71:6502 not found, creating game id: 1313 Supersqweek, max players: 2
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
DEBUG LOGON PKT: 05 00 00 01 13 13 D3 - Msg=00 Plrs=0 countdown=0
